word,monthyear,stateCode,Region,cases,totalTokens,tokenProp
anime,2013-11-01,NY,Northeast,38,11136570,3.4121816681437823e-6
anime,2013-11-01,OH,Midwest,71,18581776,3.820948008414266e-6
anime,2013-11-01,OK,South,14,4813791,2.9083107264108473e-6
anime,2013-11-01,OR,West,13,2290872,5.6746950506182795e-6
anime,2013-11-01,PA,Northeast,43,13059168,3.2927059365497097e-6
anime,2013-11-01,SC,South,18,6474950,2.7799442466737195e-6
anime,2013-11-01,SD,Midwest,0,401469,0
anime,2013-11-01,TN,South,19,6544351,2.903267260573279e-6
anime,2013-11-01,TX,South,253,52846614,4.787440118680073e-6
anime,2013-11-01,UT,West,23,3658346,6.2869941771500015e-06
anime,2013-11-01,VA,South,17,5131363,3.3129599289701392e-6
anime,2013-11-01,VT,Northeast,5,317467,1.5749668469478716e-5
anime,2013-11-01,WA,West,51,8909256,5.724383719583319e-6
anime,2013-11-01,WI,Midwest,18,5653610,3.1838064528681673e-6
anime,2013-11-01,WV,South,7,1688511,4.1456644345224875e-6
anime,2013-11-01,WY,West,1,116982,8.548323673727582e-6
anime,2013-12-01,AL,South,33,10414600,3.1686286559253355e-6
anime,2013-12-01,AR,South,5,2072518,2.412524282056899e-6
anime,2013-12-01,AZ,West,68,12752762,5.332178237153646e-6
anime,2013-12-01,CA,West,740,83249286,8.888965125778977e-6
anime,2013-12-01,CO,West,29,7892023,3.674596488124781e-6
anime,2013-12-01,CT,Northeast,50,9187868,5.441958896231422e-6
anime,2013-12-01,DE,South,6,593950,1.0101860425961781e-5
anime,2013-12-01,FL,South,296,41193594,7.1855832729720065e-6
anime,2013-12-01,GA,South,154,20738078,7.425953359805089e-6
anime,2013-12-01,IA,Midwest,21,4321140,4.8598286563268025e-6
anime,2013-12-01,ID,West,9,1737439,5.180037975433958e-6
anime,2013-12-01,IL,Midwest,29,4682286,6.1935558827461625e-6
anime,2013-12-01,IN,Midwest,48,9228381,5.2013457181709335e-6
anime,2013-12-01,KS,Midwest,13,3504342,3.7096835868188663e-6
anime,2013-12-01,KY,South,19,2945289,6.450979852910869e-6
anime,2013-12-01,LA,South,37,12000765,3.083136783363394e-6
anime,2013-12-01,MA,Northeast,15,2793867,5.368902671458591e-6
anime,2013-12-01,MD,South,51,8725771,5.844755724164661e-6
anime,2013-12-01,ME,Northeast,5,1548665,3.2285872025260467e-6
anime,2013-12-01,MI,Midwest,101,25525784,3.9567834625569186e-6
anime,2013-12-01,MN,Midwest,9,1206432,7.4600143232275005e-6
anime,2013-12-01,MO,Midwest,10,1827432,5.47215983960005e-6
anime,2013-12-01,MS,South,14,2038288,6.86850925875048e-6
anime,2013-12-01,MT,West,2,362467,5.517743684252635e-6
anime,2013-12-01,NC,South,48,12462722,3.851486055774974e-6
anime,2013-12-01,ND,Midwest,0,176288,0
anime,2013-12-01,NE,Midwest,1,828575,1.2068913496062517e-6
anime,2013-12-01,NH,Northeast,4,664038,6.02375165276686e-6
anime,2013-12-01,NJ,Northeast,11,2778234,3.959349716402578e-6
anime,2013-12-01,NM,West,13,2435893,5.336851823951216e-6
anime,2013-12-01,NV,West,102,7724241,1.3205180936224025e-5
anime,2013-12-01,NY,Northeast,66,13833016,4.771193787385195e-6
anime,2013-12-01,OH,Midwest,118,23811956,4.955493786398732e-6
anime,2013-12-01,OK,South,27,6925993,3.8983579683086595e-6
anime,2013-12-01,OR,West,9,3013100,2.9869569546314426e-6
anime,2013-12-01,PA,Northeast,77,16889241,4.5591154747569765e-6
anime,2013-12-01,SC,South,27,8157727,3.3097454719923822e-6
anime,2013-12-01,SD,Midwest,4,568419,7.037062448651435e-6
anime,2013-12-01,TN,South,34,8389963,4.052461256384563e-6
anime,2013-12-01,TX,South,446,71729054,6.217843051436312e-6
anime,2013-12-01,UT,West,26,5058595,5.139767069710068e-6
anime,2013-12-01,VA,South,31,6401668,4.842487926584134e-6
anime,2013-12-01,VT,Northeast,1,395099,2.531011214910693e-6
anime,2013-12-01,WA,West,81,12240626,6.6173086245752464e-6
anime,2013-12-01,WI,Midwest,25,7681799,3.2544459963089376e-6
anime,2013-12-01,WV,South,6,2013757,2.9795054716135065e-6
anime,2013-12-01,WY,West,0,185286,0
anime,2014-01-01,AL,South,43,11079385,3.88108184705198e-6
anime,2014-01-01,AR,South,6,1890532,3.1737098340572917e-6
anime,2014-01-01,AZ,West,102,12617082,8.084278123895843e-6
anime,2014-01-01,CA,West,1044,85240400,1.2247713525511377e-5
anime,2014-01-01,CO,West,39,7790619,5.006020702591155e-6
anime,2014-01-01,CT,Northeast,67,8657912,7.738586393578498e-6
anime,2014-01-01,DE,South,17,633400,2.6839280075781498e-5
anime,2014-01-01,FL,South,334,41713972,8.006909531415517e-6
anime,2014-01-01,GA,South,229,21178797,1.0812701023575607e-5
anime,2014-01-01,IA,Midwest,52,4310729,1.2062924855633467e-5
anime,2014-01-01,ID,West,14,1610915,8.690713041966832e-6
anime,2014-01-01,IL,Midwest,19,5062534,3.7530612140086366e-6
anime,2014-01-01,IN,Midwest,53,10149270,5.2220504528897156e-6
anime,2014-01-01,KS,Midwest,13,3260070,3.987644437082639e-6
anime,2014-01-01,KY,South,8,2841524,2.815390614332309e-6
anime,2014-01-01,LA,South,74,12583045,5.8809294570590826e-6
anime,2014-01-01,MA,Northeast,16,2796836,5.720750161968739e-6
anime,2014-01-01,MD,South,86,8633784,9.960869996284364e-6
anime,2014-01-01,ME,Northeast,6,1573224,3.8138243505057132e-6
anime,2014-01-01,MI,Midwest,135,27399160,4.9271583508399525e-6
anime,2014-01-01,MN,Midwest,5,1249803,4.0006304993667e-6
anime,2014-01-01,MO,Midwest,20,1885968,1.060463380078559e-5
anime,2014-01-01,MS,South,5,2147615,2.328164033125118e-6
anime,2014-01-01,MT,West,0,300895,0
anime,2014-01-01,NC,South,56,13405789,4.177299821741189e-6
anime,2014-01-01,ND,Midwest,0,163260,0
anime,2014-01-01,NE,Midwest,3,822574,3.647088286281842e-6
anime,2014-01-01,NH,Northeast,1,642179,1.5571982266626595e-6
anime,2014-01-01,NJ,Northeast,11,2753112,3.995478571158747e-6
anime,2014-01-01,NM,West,9,2307027,3.901124694249352e-6
anime,2014-01-01,NV,West,140,8069216,1.7349888762427477e-5
anime,2014-01-01,NY,Northeast,73,13882607,5.258378343491248e-6
anime,2014-01-01,OH,Midwest,130,26530017,4.900109939620468e-6
