date,stateCode,totalTokens,dataDay
2013-10-19,NE,18439,13
2013-10-19,NH,14813,13
2013-10-19,NJ,61005,13
2013-10-19,NM,52615,13
2013-10-19,NV,168511,13
2013-10-19,NY,303204,13
2013-10-19,OH,539393,13
2013-10-19,OK,139636,13
2013-10-19,OR,57099,13
2013-10-19,PA,365917,13
2013-10-19,SC,218891,13
2013-10-19,SD,13190,13
2013-10-19,TN,220283,13
2013-10-19,TX,1479499,13
2013-10-19,UT,93654,13
2013-10-19,VA,150227,13
2013-10-19,VT,9251,13
2013-10-19,WA,259251,13
2013-10-19,WI,165989,13
2013-10-19,WV,56273,13
2013-10-19,WY,3333,13
2013-10-20,AL,253747,14
2013-10-20,AR,46263,14
2013-10-20,AZ,313098,14
2013-10-20,CA,1968950,14
2013-10-20,CO,177673,14
2013-10-20,CT,215434,14
2013-10-20,DE,21037,14
2013-10-20,FL,979606,14
2013-10-20,GA,488952,14
2013-10-20,IA,103579,14
2013-10-20,ID,34398,14
2013-10-20,IL,121674,14
2013-10-20,IN,234989,14
2013-10-20,KS,91288,14
2013-10-20,KY,66787,14
2013-10-20,LA,263595,14
2013-10-20,MA,80647,14
2013-10-20,MD,221192,14
2013-10-20,ME,34364,14
2013-10-20,MI,638574,14
2013-10-20,MN,30522,14
2013-10-20,MO,46540,14
2013-10-20,MS,45082,14
2013-10-20,MT,7975,14
2013-10-20,NC,318071,14
2013-10-20,ND,4959,14
2013-10-20,NE,17077,14
2013-10-20,NH,18834,14
2013-10-20,NJ,72639,14
2013-10-20,NM,60098,14
2013-10-20,NV,186919,14
2013-10-20,NY,365771,14
2013-10-20,OH,619422,14
2013-10-20,OK,141300,14
2013-10-20,OR,61233,14
2013-10-20,PA,450097,14
2013-10-20,SC,204921,14
2013-10-20,SD,14274,14
2013-10-20,TN,218099,14
2013-10-20,TX,1639808,14
2013-10-20,UT,109352,14
2013-10-20,VA,173537,14
2013-10-20,VT,9295,14
2013-10-20,WA,266782,14
2013-10-20,WI,192702,14
2013-10-20,WV,58834,14
2013-10-20,WY,3141,14
2013-10-21,AL,276674,15
2013-10-21,AR,51222,15
2013-10-21,AZ,334342,15
2013-10-21,CA,1978514,15
2013-10-21,CO,168398,15
2013-10-21,CT,196518,15
2013-10-21,DE,20358,15
2013-10-21,FL,966495,15
2013-10-21,GA,487490,15
2013-10-21,IA,114535,15
2013-10-21,ID,35195,15
2013-10-21,IL,121313,15
2013-10-21,IN,232582,15
2013-10-21,KS,90218,15
2013-10-21,KY,73442,15
2013-10-21,LA,279662,15
2013-10-21,MA,65449,15
2013-10-21,MD,191031,15
2013-10-21,ME,30346,15
2013-10-21,MI,635111,15
2013-10-21,MN,35931,15
2013-10-21,MO,48331,15
2013-10-21,MS,47618,15
2013-10-21,MT,7934,15
2013-10-21,NC,324623,15
2013-10-21,ND,4392,15
2013-10-21,NE,16935,15
2013-10-21,NH,14940,15
2013-10-21,NJ,65602,15
2013-10-21,NM,57959,15
2013-10-21,NV,190380,15
2013-10-21,NY,339278,15
2013-10-21,OH,592760,15
2013-10-21,OK,160216,15
2013-10-21,OR,65380,15
2013-10-21,PA,416626,15
2013-10-21,SC,206173,15
2013-10-21,SD,13116,15
2013-10-21,TN,217464,15
2013-10-21,TX,1668931,15
2013-10-21,UT,119535,15
2013-10-21,VA,167020,15
2013-10-21,VT,8227,15
2013-10-21,WA,285949,15
2013-10-21,WI,188841,15
2013-10-21,WV,61733,15
2013-10-21,WY,2845,15
2013-10-22,AL,258681,16
2013-10-22,AR,49226,16
2013-10-22,AZ,336054,16
2013-10-22,CA,2032220,16
2013-10-22,CO,165243,16
2013-10-22,CT,197151,16
2013-10-22,DE,17748,16
2013-10-22,FL,941248,16
2013-10-22,GA,478425,16
2013-10-22,IA,121734,16
2013-10-22,ID,35149,16
2013-10-22,IL,128172,16
2013-10-22,IN,233902,16
2013-10-22,KS,86551,16
2013-10-22,KY,76329,16
2013-10-22,LA,262186,16
2013-10-22,MA,73008,16
2013-10-22,MD,187962,16
2013-10-22,ME,34939,16
2013-10-22,MI,608055,16
2013-10-22,MN,34954,16
2013-10-22,MO,46464,16
2013-10-22,MS,46064,16
2013-10-22,MT,6714,16
2013-10-22,NC,314995,16
2013-10-22,ND,4551,16
2013-10-22,NE,21647,16
2013-10-22,NH,14349,16
2013-10-22,NJ,64305,16
2013-10-22,NM,59442,16
2013-10-22,NV,178540,16
2013-10-22,NY,348452,16
2013-10-22,OH,576315,16
2013-10-22,OK,148153,16
2013-10-22,OR,64262,16
2013-10-22,PA,416493,16
2013-10-22,SC,197080,16
2013-10-22,SD,12393,16
2013-10-22,TN,204163,16
2013-10-22,TX,1603674,16
2013-10-22,UT,117631,16
2013-10-22,VA,165678,16
2013-10-22,VT,9012,16
2013-10-22,WA,272333,16
2013-10-22,WI,182196,16
2013-10-22,WV,60092,16
2013-10-22,WY,2871,16
2013-10-23,AL,265342,17
2013-10-23,AR,46748,17
2013-10-23,AZ,348429,17
2013-10-23,CA,2005895,17
2013-10-23,CO,165613,17
2013-10-23,CT,209293,17
2013-10-23,DE,19801,17
2013-10-23,FL,939426,17
2013-10-23,GA,458789,17
2013-10-23,IA,118279,17
2013-10-23,ID,32814,17
2013-10-23,IL,118580,17
2013-10-23,IN,230517,17
2013-10-23,KS,87048,17
2013-10-23,KY,76225,17
2013-10-23,LA,259816,17
2013-10-23,MA,74354,17
2013-10-23,MD,189636,17
2013-10-23,ME,34660,17
2013-10-23,MI,611938,17
2013-10-23,MN,37820,17
2013-10-23,MO,51707,17
2013-10-23,MS,42885,17
2013-10-23,MT,7277,17
2013-10-23,NC,308752,17
2013-10-23,ND,3849,17
2013-10-23,NE,21853,17
2013-10-23,NH,16349,17
2013-10-23,NJ,65996,17
2013-10-23,NM,57486,17
2013-10-23,NV,182815,17
2013-10-23,NY,367390,17
2013-10-23,OH,566722,17
2013-10-23,OK,148710,17
2013-10-23,OR,63543,17
2013-10-23,PA,429823,17
2013-10-23,SC,197197,17
2013-10-23,SD,11973,17
2013-10-23,TN,213342,17
2013-10-23,TX,1610676,17
2013-10-23,UT,113480,17
2013-10-23,VA,171966,17
2013-10-23,VT,10884,17
2013-10-23,WA,270622,17
2013-10-23,WI,185441,17
2013-10-23,WV,59479,17
2013-10-23,WY,3440,17
2013-10-24,AL,251529,18
2013-10-24,AR,49420,18
2013-10-24,AZ,338732,18
2013-10-24,CA,2003656,18
2013-10-24,CO,160706,18
2013-10-24,CT,194553,18
2013-10-24,DE,18369,18
