date,stateCode,total
2013-10-24,IN,220620
2013-10-24,KS,86596
2013-10-24,KY,75210
2013-10-24,LA,262746
2013-10-24,MA,68699
2013-10-24,MD,183640
2013-10-24,ME,35275
2013-10-24,MI,590083
2013-10-24,MN,34911
2013-10-24,MO,49091
2013-10-24,MS,40817
2013-10-24,MT,7075
2013-10-24,NC,303652
2013-10-24,ND,4112
2013-10-24,NE,22599
2013-10-24,NH,13179
2013-10-24,NJ,62248
2013-10-24,NM,52539
2013-10-24,NV,187894
2013-10-24,NY,350032
2013-10-24,OH,566351
2013-10-24,OK,147450
2013-10-24,OR,63705
2013-10-24,PA,404891
2013-10-24,SC,190167
2013-10-24,SD,10463
2013-10-24,TN,201844
2013-10-24,TX,1582273
2013-10-24,UT,109503
2013-10-24,VA,169290
2013-10-24,VT,10282
2013-10-24,WA,268477
2013-10-24,WI,180233
2013-10-24,WV,61683
2013-10-24,WY,3174
2013-10-25,AL,225378
2013-10-25,AR,44077
2013-10-25,AZ,304693
2013-10-25,CA,1835613
2013-10-25,CO,154348
2013-10-25,CT,182574
2013-10-25,DE,12816
2013-10-25,FL,864753
2013-10-25,GA,398888
2013-10-25,IA,106764
2013-10-25,ID,30542
2013-10-25,IL,101462
2013-10-25,IN,202074
2013-10-25,KS,73286
2013-10-25,KY,58834
2013-10-25,LA,240652
2013-10-25,MA,59014
2013-10-25,MD,171921
2013-10-25,ME,30143
2013-10-25,MI,513097
2013-10-25,MN,27126
2013-10-25,MO,43030
2013-10-25,MS,40829
2013-10-25,MT,6847
2013-10-25,NC,278623
2013-10-25,ND,4902
2013-10-25,NE,20900
2013-10-25,NH,12752
2013-10-25,NJ,54890
2013-10-25,NM,52155
2013-10-25,NV,200664
2013-10-25,NY,319346
2013-10-25,OH,472639
2013-10-25,OK,124935
2013-10-25,OR,60432
2013-10-25,PA,362038
2013-10-25,SC,175277
2013-10-25,SD,11050
2013-10-25,TN,185860
2013-10-25,TX,1392245
2013-10-25,UT,97335
2013-10-25,VA,150340
2013-10-25,VT,10434
2013-10-25,WA,261630
2013-10-25,WI,173298
2013-10-25,WV,49956
2013-10-25,WY,2686
2013-10-26,AL,230657
2013-10-26,AR,43884
2013-10-26,AZ,277559
2013-10-26,CA,1859991
2013-10-26,CO,152666
2013-10-26,CT,186265
2013-10-26,DE,12798
2013-10-26,FL,868948
2013-10-26,GA,427395
2013-10-26,IA,103999
2013-10-26,ID,26241
2013-10-26,IL,106950
2013-10-26,IN,192255
2013-10-26,KS,78304
2013-10-26,KY,54747
2013-10-26,LA,212189
2013-10-26,MA,64586
2013-10-26,MD,172285
2013-10-26,ME,33112
2013-10-26,MI,521634
2013-10-26,MN,24562
2013-10-26,MO,48692
2013-10-26,MS,39379
2013-10-26,MT,6809
2013-10-26,NC,284037
2013-10-26,ND,3416
2013-10-26,NE,26458
2013-10-26,NH,12424
2013-10-26,NJ,56423
2013-10-26,NM,48319
2013-10-26,NV,201472
2013-10-26,NY,309118
2013-10-26,OH,474440
2013-10-26,OK,145278
2013-10-26,OR,67554
2013-10-26,PA,362056
2013-10-26,SC,199483
2013-10-26,SD,12724
2013-10-26,TN,198760
2013-10-26,TX,1428209
2013-10-26,UT,88411
2013-10-26,VA,146739
2013-10-26,VT,11048
2013-10-26,WA,254411
2013-10-26,WI,165339
2013-10-26,WV,48937
2013-10-26,WY,2732
2013-10-27,AL,257164
2013-10-27,AR,50642
2013-10-27,AZ,306827
2013-10-27,CA,1985372
2013-10-27,CO,171381
2013-10-27,CT,228432
2013-10-27,DE,19931
2013-10-27,FL,988108
2013-10-27,GA,484050
2013-10-27,IA,115076
2013-10-27,ID,31651
2013-10-27,IL,131097
2013-10-27,IN,217778
2013-10-27,KS,87533
2013-10-27,KY,66816
2013-10-27,LA,273003
2013-10-27,MA,81734
2013-10-27,MD,231885
2013-10-27,ME,33824
2013-10-27,MI,649606
2013-10-27,MN,30989
2013-10-27,MO,51276
2013-10-27,MS,40008
2013-10-27,MT,7305
2013-10-27,NC,326716
2013-10-27,ND,4408
2013-10-27,NE,26254
2013-10-27,NH,17599
2013-10-27,NJ,76042
2013-10-27,NM,54806
2013-10-27,NV,201649
2013-10-27,NY,391376
2013-10-27,OH,610254
2013-10-27,OK,152663
2013-10-27,OR,66552
2013-10-27,PA,448392
2013-10-27,SC,216146
2013-10-27,SD,13086
2013-10-27,TN,202375
2013-10-27,TX,1682010
2013-10-27,UT,114801
2013-10-27,VA,187872
2013-10-27,VT,11566
2013-10-27,WA,261851
2013-10-27,WI,198834
2013-10-27,WV,58222
2013-10-27,WY,3284
2013-10-28,AL,278035
2013-10-28,AR,50612
2013-10-28,AZ,337114
2013-10-28,CA,2059783
2013-10-28,CO,164416
2013-10-28,CT,200095
2013-10-28,DE,20758
2013-10-28,FL,962212
2013-10-28,GA,471536
2013-10-28,IA,116248
2013-10-28,ID,34044
2013-10-28,IL,126022
2013-10-28,IN,223234
2013-10-28,KS,83639
2013-10-28,KY,72016
2013-10-28,LA,287878
2013-10-28,MA,70619
2013-10-28,MD,201389
2013-10-28,ME,32063
2013-10-28,MI,601818
2013-10-28,MN,30576
2013-10-28,MO,48983
2013-10-28,MS,43261
2013-10-28,MT,7903
2013-10-28,NC,332959
2013-10-28,ND,5131
2013-10-28,NE,26278
2013-10-28,NH,14643
2013-10-28,NJ,64472
2013-10-28,NM,54794
2013-10-28,NV,212510
2013-10-28,NY,353214
2013-10-28,OH,577584
2013-10-28,OK,150925
2013-10-28,OR,68571
2013-10-28,PA,415957
2013-10-28,SC,216204
2013-10-28,SD,10415
2013-10-28,TN,202772
2013-10-28,TX,1679843
2013-10-28,UT,121367
2013-10-28,VA,162165
2013-10-28,VT,11383
2013-10-28,WA,294182
2013-10-28,WI,177620
2013-10-28,WV,58527
2013-10-28,WY,2743
2013-10-29,AL,275248
2013-10-29,AR,52824
2013-10-29,AZ,330715
2013-10-29,CA,2038406
2013-10-29,CO,176207
2013-10-29,CT,198835
2013-10-29,DE,18920
2013-10-29,FL,943461
2013-10-29,GA,470139
2013-10-29,IA,123569
2013-10-29,ID,35777
2013-10-29,IL,119888
2013-10-29,IN,227530
2013-10-29,KS,89297
2013-10-29,KY,73302
2013-10-29,LA,274072
2013-10-29,MA,68716
2013-10-29,MD,204361
2013-10-29,ME,33200
2013-10-29,MI,589983
2013-10-29,MN,33898
2013-10-29,MO,48015
2013-10-29,MS,44499
2013-10-29,MT,6962
2013-10-29,NC,321324
2013-10-29,ND,4679
2013-10-29,NE,25817
2013-10-29,NH,14552
2013-10-29,NJ,56341
2013-10-29,NM,59755
2013-10-29,NV,179644
2013-10-29,NY,345908
2013-10-29,OH,560617
