date,stateCode,word,cases
2013-12-22,VA,anime,0
2013-12-22,VA,bae,50
2013-12-22,VA,boi,5
2013-12-22,VA,bruhhh,1
2013-12-22,VA,fleek,0
2013-12-22,VT,anime,0
2013-12-22,VT,bae,3
2013-12-22,VT,boi,0
2013-12-22,VT,bruhhh,0
2013-12-22,VT,fleek,0
2013-12-22,WA,anime,2
2013-12-22,WA,bae,43
2013-12-22,WA,boi,5
2013-12-22,WA,bruhhh,2
2013-12-22,WA,fleek,0
2013-12-22,WI,anime,0
2013-12-22,WI,bae,54
2013-12-22,WI,boi,5
2013-12-22,WI,bruhhh,0
2013-12-22,WI,fleek,0
2013-12-22,WV,anime,1
2013-12-22,WV,bae,2
2013-12-22,WV,boi,0
2013-12-22,WV,bruhhh,0
2013-12-22,WV,fleek,0
2013-12-22,WY,anime,0
2013-12-22,WY,bae,0
2013-12-22,WY,boi,0
2013-12-22,WY,bruhhh,0
2013-12-22,WY,fleek,0
2013-12-23,AL,anime,4
2013-12-23,AL,bae,172
2013-12-23,AL,boi,6
2013-12-23,AL,bruhhh,3
2013-12-23,AL,fleek,0
2013-12-23,AR,anime,0
2013-12-23,AR,bae,17
2013-12-23,AR,boi,0
2013-12-23,AR,bruhhh,0
2013-12-23,AR,fleek,0
2013-12-23,AZ,anime,3
2013-12-23,AZ,bae,75
2013-12-23,AZ,boi,6
2013-12-23,AZ,bruhhh,0
2013-12-23,AZ,fleek,0
2013-12-23,CA,anime,26
2013-12-23,CA,bae,517
2013-12-23,CA,boi,67
2013-12-23,CA,bruhhh,19
2013-12-23,CA,fleek,0
2013-12-23,CO,anime,0
2013-12-23,CO,bae,49
2013-12-23,CO,boi,6
2013-12-23,CO,bruhhh,0
2013-12-23,CO,fleek,0
2013-12-23,CT,anime,2
2013-12-23,CT,bae,69
2013-12-23,CT,boi,2
2013-12-23,CT,bruhhh,2
2013-12-23,CT,fleek,0
2013-12-23,DE,anime,0
2013-12-23,DE,bae,5
2013-12-23,DE,boi,0
2013-12-23,DE,bruhhh,0
2013-12-23,DE,fleek,0
2013-12-23,FL,anime,8
2013-12-23,FL,bae,404
2013-12-23,FL,boi,44
2013-12-23,FL,bruhhh,8
2013-12-23,FL,fleek,0
2013-12-23,GA,anime,3
2013-12-23,GA,bae,266
2013-12-23,GA,boi,28
2013-12-23,GA,bruhhh,4
2013-12-23,GA,fleek,0
2013-12-23,IA,anime,2
2013-12-23,IA,bae,34
2013-12-23,IA,boi,0
2013-12-23,IA,bruhhh,0
2013-12-23,IA,fleek,0
2013-12-23,ID,anime,0
2013-12-23,ID,bae,2
2013-12-23,ID,boi,3
2013-12-23,ID,bruhhh,0
2013-12-23,ID,fleek,0
2013-12-23,IL,anime,0
2013-12-23,IL,bae,26
2013-12-23,IL,boi,1
2013-12-23,IL,bruhhh,1
2013-12-23,IL,fleek,0
2013-12-23,IN,anime,0
2013-12-23,IN,bae,66
2013-12-23,IN,boi,1
2013-12-23,IN,bruhhh,1
2013-12-23,IN,fleek,0
2013-12-23,KS,anime,0
2013-12-23,KS,bae,10
2013-12-23,KS,boi,4
2013-12-23,KS,bruhhh,0
2013-12-23,KS,fleek,0
2013-12-23,KY,anime,0
2013-12-23,KY,bae,14
2013-12-23,KY,boi,1
2013-12-23,KY,bruhhh,0
2013-12-23,KY,fleek,0
2013-12-23,LA,anime,0
2013-12-23,LA,bae,170
2013-12-23,LA,boi,15
2013-12-23,LA,bruhhh,3
2013-12-23,LA,fleek,0
2013-12-23,MA,anime,0
2013-12-23,MA,bae,13
2013-12-23,MA,boi,2
2013-12-23,MA,bruhhh,0
2013-12-23,MA,fleek,0
2013-12-23,MD,anime,0
2013-12-23,MD,bae,146
2013-12-23,MD,boi,3
2013-12-23,MD,bruhhh,0
2013-12-23,MD,fleek,0
2013-12-23,ME,anime,0
2013-12-23,ME,bae,2
2013-12-23,ME,boi,1
2013-12-23,ME,bruhhh,0
2013-12-23,ME,fleek,0
2013-12-23,MI,anime,2
2013-12-23,MI,bae,204
2013-12-23,MI,boi,27
